rating_group,roa,roe,de_ratio,icr,size,nwcta,ebit_m,ebitda_m
medium,6.29,12.42,1.59,5.22,"144,574.67",0.1138,6.71,6.71
high,0.31,-4.91,2.12,1.19,"639,103.02",0.0032,3.24,8.03
high,8.68,17.99,2.11,4.82,"623,878.39",0.0217,7.60,11.47
high,8.46,18.42,2.17,5.91,"541,828.24",0.0290,8.89,13.49
high,2.21,1.88,2.34,1.20,"453,171.51",0.0059,2.74,8.83
high,7.17,16.59,1.89,8.12,"279,245.47",-0.1065,44.61,62.83
high,5.81,13.92,2.04,7.06,"272,691.93",-0.0616,40.21,62.30
high,4.46,10.08,2.21,6.04,"263,420.84",-0.0758,35.59,62.31
high,6.96,13.56,1.88,7.31,"221,773.51",-0.0301,41.10,64.94
low,3.92,4.70,1.25,1.69,"11,416.62",0.0187,2.53,9.06
high,7.21,14.70,1.60,9.07,"13,657.21",0.0784,5.20,8.57
medium,3.68,5.86,2.74,2.08,"95,594.37",0.0383,9.77,12.75
medium,3.03,4.45,2.48,1.81,"85,150.79",0.0354,13.13,16.41
medium,2.84,3.52,2.20,1.70,"83,420.94",0.0278,16.84,21.80
medium,2.34,2.30,2.15,1.51,"82,774.02",0.0613,10.63,14.62
low,6.25,10.94,2.00,4.29,"9,942.64",0.1255,3.31,4.77
low,4.38,6.92,1.79,3.53,"9,061.70",0.1905,1.88,3.20
low,21.20,44.12,1.68,19.48,"10,067.39",0.2254,9.27,10.52
low,9.20,17.67,1.78,8.96,"8,840.68",0.1147,5.03,6.78
medium,10.12,13.25,0.75,16.36,"85,993.43",0.5692,25.49,25.97
medium,14.26,18.45,0.68,38.99,"79,924.06",0.5170,30.40,30.76
medium,13.38,17.98,0.66,36.08,"71,432.24",0.5792,31.51,31.92
medium,9.07,11.54,0.82,24.07,"68,206.52",0.5647,27.83,28.39
medium,1.10,0.42,0.27,2.11,"47,546.42",0.2574,3.30,11.72
medium,4.15,4.40,0.32,11.08,"48,528.53",0.3284,8.74,14.87
medium,54.98,67.81,0.34,204.19,"51,302.82",0.4658,54.15,56.75
medium,56.94,79.78,0.37,113.18,"43,293.41",0.6309,52.42,55.91
medium,9.08,10.25,0.30,16.89,"17,267.99",0.0561,15.86,23.93
medium,18.20,23.91,0.47,26.97,"19,796.46",0.1679,22.21,27.24
medium,44.30,68.93,0.84,62.83,"26,383.76",0.2158,44.14,48.20
medium,11.99,18.72,1.17,13.90,"16,527.30",-0.1288,20.36,29.03
low,4.53,6.03,1.33,3.55,"12,207.01",0.2824,20.10,22.36
low,5.42,7.83,1.25,5.63,"11,581.80",0.3351,24.44,26.58
low,4.17,6.07,1.33,4.76,"11,303.89",0.4382,18.46,20.86
low,5.00,6.70,0.99,6.07,"9,243.07",0.3650,19.17,21.46
low,4.91,4.34,0.50,2.48,"24,345.82",0.0251,22.99,50.53
low,21.99,31.47,0.48,13.40,"24,303.96",-0.0128,57.49,71.99
low,21.78,36.53,0.64,11.78,"23,530.50",0.0379,55.50,69.28
spec,-2.98,-11.94,1.11,-1.16,"21,396.85",-0.0655,-18.54,13.93
medium,6.79,7.50,0.57,6.73,"71,587.29",0.4752,16.17,17.88
medium,5.73,6.35,0.51,9.44,"68,655.54",0.6267,14.07,15.86
medium,4.87,5.45,0.63,6.66,"72,051.61",0.6103,12.87,14.50
medium,5.09,6.44,0.79,8.15,"78,273.12",0.6872,14.23,15.77
medium,5.40,8.66,2.07,2.77,"112,850.18",-0.0895,38.08,49.37
medium,4.53,6.50,2.06,2.20,"114,128.19",-0.0490,35.10,45.83
medium,2.91,2.67,2.05,1.52,"115,088.50",-0.0441,29.02,38.85
medium,4.04,5.34,1.99,2.15,"113,615.76",-0.0809,31.78,44.75
low,3.87,13.54,4.67,3.42,"19,568.24",-0.0331,4.25,4.75
spec,5.20,23.56,5.05,4.99,"17,902.51",0.0100,7.16,7.78
spec,3.86,11.06,3.65,4.59,"13,645.19",-0.0647,8.24,9.71
spec,3.53,8.76,4.37,2.64,"13,867.93",0.0602,7.62,9.02
spec,-0.45,-6.49,0.79,0.14,"10,058.66",0.1567,1.21,20.49
low,1.01,-4.00,0.60,0.69,"8,581.81",0.1186,3.36,20.96
medium,9.87,18.65,1.34,6.15,"26,242.38",-0.1123,8.64,12.80
low,9.82,20.12,1.56,6.92,"25,469.03",-0.0806,8.35,12.42
low,6.64,12.81,1.58,4.33,"22,722.49",-0.1264,7.14,12.06
low,2.51,2.01,1.89,1.47,"22,346.05",-0.0841,3.07,8.67
medium,7.00,11.44,0.99,5.58,"14,470.97",0.0801,14.79,30.54
medium,3.32,3.54,1.06,2.60,"14,846.73",0.1248,7.72,27.15
medium,12.58,23.17,1.27,8.34,"16,519.47",0.0637,63.94,101.09
medium,-2.89,-8.15,1.67,-2.62,"17,678.21",-0.1384,-11.64,19.91
medium,2.17,1.92,0.60,1.03,"47,546.42",0.2574,1.77,6.02
medium,6.38,9.78,0.69,6.05,"48,528.53",0.3284,6.65,9.52
medium,28.46,37.41,0.76,35.65,"51,302.82",0.4658,24.87,27.40
medium,23.45,30.65,0.74,25.70,"43,293.41",0.6309,23.40,27.09
low,4.53,6.20,1.82,1.23,"7,628.94",-0.1674,7.07,0.00
low,3.70,5.89,1.92,1.32,"7,961.52",-0.1326,6.60,19.34
low,1.42,-1.65,1.61,0.57,"6,984.56",-0.0933,3.64,24.51
low,-4.58,-12.97,1.48,-1.59,"6,963.53",-0.1928,-10.53,12.53
spec,4.35,4.07,1.15,1.46,"13,497.47",-0.0471,22.00,32.86
spec,-0.24,-5.46,1.19,-0.08,"13,345.63",-0.0359,-1.49,12.32
spec,8.63,15.68,1.20,11.89,"14,105.64",-0.1076,356.54,379.57
low,2.81,1.70,0.53,1.73,"7,293.31",0.3266,46.43,79.81
low,4.00,3.91,0.51,3.43,"44,459.49",0.2549,10.32,19.17
low,9.42,14.28,0.50,7.43,"41,592.68",0.2301,12.82,19.07
low,12.09,20.62,0.60,10.16,"38,947.08",0.3118,18.64,25.40
low,-9.04,-11.33,0.62,-7.09,"31,029.23",0.2205,-22.44,-11.09
